Wandb run started
Optimizers Created
Dataloader reset
Beginning Training
====================================================================================================
Model Parameters: 32.1M
{'d_model': 256, 'n_heads': 8, 'n_layers': 8, 'vocab_size': 50304, 'seq_len': 128, 'r': 4, 'p': 2, 'max_steps': 1000000, 'batch_size': 32, 'adam_lr': 0.0003, 'muon_lr': 0.0003}
====================================================================================================
step 890 | loss 7.4738 | norm 36.0671 | time 1899.5585ms
step 900 | loss 7.3636 | norm 15.2067 | time 1899.4203ms
step 910 | loss 7.4622 | norm 642.5735 | time 1900.8784ms
step 920 | loss 7.5573 | norm 2003207.1250 | time 1896.3668ms
step 930 | loss 7.2191 | norm 2.3149 | time 1898.3617ms
step 940 | loss 7.2766 | norm 441.4520 | time 1898.9806ms
step 950 | loss 7.5560 | norm 3268198.7500 | time 1900.9848ms
step 960 | loss 7.0872 | norm 14.3466 | time 1899.1497ms
step 970 | loss 7.1707 | norm 1.5103 | time 1896.7528ms
step 980 | loss 6.9323 | norm 246.8179 | time 1899.5807ms
step 990 | loss 7.2956 | norm 3.0740 | time 1897.4049ms
step 1000 | loss 7.0268 | norm 63.7702 | time 1901.1891ms
step 1010 | loss 7.4354 | norm 91.1315 | time 1899.4296ms
step 1020 | loss 7.2049 | norm 5015.1060 | time 1896.1496ms
step 1030 | loss 7.6762 | norm 24144.6152 | time 1899.4374ms
step 1040 | loss 7.0324 | norm 1.5502 | time 1896.3919ms
step 1050 | loss 7.0788 | norm 266.7099 | time 1896.8177ms
step 1060 | loss 7.2300 | norm 1190.1923 | time 1898.2775ms
step 1070 | loss 6.9939 | norm 1.9373 | time 1897.4707ms
step 1080 | loss 6.8850 | norm 28.1469 | time 1897.3112ms
step 1090 | loss 7.4396 | norm 3.1068 | time 1900.4683ms
step 1100 | loss 7.0582 | norm 5.9955 | time 1899.0049ms
step 1110 | loss 7.1466 | norm 1.5916 | time 1896.5757ms
step 1120 | loss 7.8256 | norm 15.9276 | time 1897.8863ms
step 1130 | loss 7.3113 | norm 2009.5922 | time 1897.6619ms
step 1140 | loss 6.9116 | norm 1.6723 | time 1895.5283ms
step 1150 | loss 7.4175 | norm 4134071.2500 | time 1898.7079ms
step 1160 | loss 7.2972 | norm 1.5638 | time 1898.8314ms
step 1170 | loss 6.8356 | norm 49.4093 | time 1898.6142ms
step 1180 | loss 7.1536 | norm 2.7264 | time 1899.0979ms
step 1190 | loss 7.0217 | norm 8472.7217 | time 1900.3983ms
step 1200 | loss 7.3732 | norm 10538.1914 | time 1896.9688ms
step 1210 | loss 7.2110 | norm 1.6093 | time 1900.0235ms
step 1220 | loss 7.1807 | norm 1.5994 | time 1897.5728ms
step 1230 | loss 6.8206 | norm 6.3704 | time 1898.8862ms
step 1240 | loss 6.8539 | norm 11.8375 | time 1897.1863ms
step 1250 | loss 7.2354 | norm 433.2488 | time 1898.9837ms
step 1260 | loss 6.7515 | norm 1.7735 | time 1897.9521ms
step 1270 | loss 7.0700 | norm 23.0271 | time 1897.9125ms
step 1280 | loss 6.8919 | norm 3.7223 | time 1898.8626ms
step 1290 | loss 6.9906 | norm 7.8750 | time 1900.1503ms
step 1300 | loss 7.2018 | norm 643.1619 | time 1900.6772ms
step 1310 | loss 6.8573 | norm 424.7637 | time 1895.9353ms
step 1320 | loss 6.6132 | norm 2.5489 | time 1899.4157ms
step 1330 | loss 6.9259 | norm 2.2814 | time 1898.5720ms
step 1340 | loss 7.2893 | norm 1.6642 | time 1897.2678ms
step 1350 | loss 6.9417 | norm 2.9225 | time 1898.0057ms
step 1360 | loss 6.8378 | norm 123.1860 | time 1903.8489ms
step 1370 | loss 6.8042 | norm 806.4189 | time 1898.6003ms
step 1380 | loss 6.8166 | norm 1.6974 | time 1900.0783ms
step 1390 | loss 6.8777 | norm 4794.6064 | time 1899.6050ms
step 1400 | loss 6.8782 | norm 288.2242 | time 1900.1474ms
step 1410 | loss 6.7035 | norm 4.0506 | time 1900.2323ms
step 1420 | loss 7.1876 | norm 1.9335 | time 1899.8621ms
step 1430 | loss 6.9721 | norm 44.1217 | time 1899.5633ms
step 1440 | loss 7.0854 | norm 323.7089 | time 1899.6065ms
step 1450 | loss 6.9804 | norm 11.1726 | time 1900.3410ms
step 1460 | loss 6.8332 | norm 10932662.0000 | time 1902.2782ms
step 1470 | loss 7.1766 | norm 57.5432 | time 1897.2161ms
step 1480 | loss 7.2351 | norm 332.9072 | time 1900.1484ms
step 1490 | loss 7.4210 | norm 299.5676 | time 1900.6851ms
step 1500 | loss 7.1138 | norm 30850.2441 | time 1899.1416ms
step 1510 | loss 7.3175 | norm 630242.5625 | time 1902.0445ms
step 1520 | loss 7.3907 | norm 23584.6543 | time 1900.0118ms
step 1530 | loss 7.1199 | norm 286.4587 | time 1900.3098ms
step 1540 | loss 6.9070 | norm 76.5547 | time 1897.8629ms
step 1550 | loss 7.0762 | norm 1.5280 | time 1899.8692ms
step 1560 | loss 7.3598 | norm 9.7439 | time 1896.9400ms
step 1570 | loss 7.0232 | norm 21.1301 | time 1899.1246ms
step 1580 | loss 7.1763 | norm 56.6543 | time 1897.4910ms
step 1590 | loss 6.8551 | norm 1363.4819 | time 1899.9326ms
step 1600 | loss 7.0743 | norm 246.9993 | time 1899.8985ms
step 1610 | loss 6.7848 | norm 1.9414 | time 1899.8449ms
step 1620 | loss 6.6559 | norm 12531.5791 | time 1899.7662ms
step 1630 | loss 6.6660 | norm 45.3321 | time 1897.2049ms
step 1640 | loss 6.7531 | norm 1.4786 | time 1901.8369ms
step 1650 | loss 6.7657 | norm 2.1781 | time 1897.8426ms
step 1660 | loss 7.0568 | norm 1.9281 | time 1903.0008ms
step 1670 | loss 7.0097 | norm 1.9108 | time 1901.1960ms
step 1680 | loss 6.9432 | norm 1.5900 | time 1898.8750ms
step 1690 | loss 7.1046 | norm 764.2806 | time 1897.6123ms
step 1700 | loss 6.9990 | norm 1.5595 | time 1900.4688ms
step 1710 | loss 6.8139 | norm 2.0791 | time 1897.3362ms
step 1720 | loss 6.5162 | norm 2.2860 | time 1898.1857ms
step 1730 | loss 7.0104 | norm 6.2409 | time 1898.5827ms
step 1740 | loss 6.9953 | norm 4.6519 | time 1897.4700ms
step 1750 | loss 7.5050 | norm 116309.1406 | time 1897.1975ms
step 1760 | loss 6.7451 | norm 562.5571 | time 1897.8403ms
step 1770 | loss 7.3931 | norm 33605.6641 | time 1900.7442ms
step 1780 | loss 6.8942 | norm 1.8626 | time 1900.5218ms
step 1790 | loss 6.6382 | norm 1.8428 | time 1899.3945ms
step 1800 | loss 6.3227 | norm 11.9749 | time 1900.5220ms
step 1810 | loss 7.0945 | norm 1.7653 | time 1898.3686ms
step 1820 | loss 7.3791 | norm 1.9465 | time 1900.2571ms
step 1830 | loss 7.0024 | norm 2.5624 | time 1896.7090ms
step 1840 | loss 6.9333 | norm 2.0147 | time 1899.6725ms
step 1850 | loss 6.7470 | norm 1.8842 | time 1899.4360ms
step 1860 | loss 6.6572 | norm 30.6955 | time 1898.3624ms
step 1870 | loss 6.3563 | norm 343630.1562 | time 1899.9331ms
step 1880 | loss 6.7929 | norm 6455.8267 | time 1898.6537ms
step 1890 | loss 7.3419 | norm 456.5467 | time 1897.7952ms
step 1900 | loss 7.5494 | norm 19945.4258 | time 1898.4020ms
step 1910 | loss 7.0088 | norm 85.4582 | time 1898.1037ms
step 1920 | loss 7.0582 | norm 1108.3469 | time 1898.6409ms
step 1930 | loss 6.8497 | norm 3867.7249 | time 1897.1364ms
step 1940 | loss 7.1361 | norm 164.3603 | time 1902.3242ms
step 1950 | loss 7.1666 | norm 24.2370 | time 1896.2967ms
step 1960 | loss 7.1476 | norm 22.4714 | time 1896.6377ms
step 1970 | loss 7.1603 | norm 2.7139 | time 1898.3576ms
step 1980 | loss 6.9762 | norm 1074282.7500 | time 1900.1765ms
step 1990 | loss 6.9043 | norm 5.6181 | time 1898.8259ms
step 2000 | loss 6.9678 | norm 94.9100 | time 1898.8678ms
step 2010 | loss 6.8959 | norm 85.1838 | time 1895.7932ms
step 2020 | loss 6.5430 | norm 14735.8984 | time 1896.4357ms
step 2030 | loss 7.5169 | norm 695454.6875 | time 1899.2639ms
step 2040 | loss 7.5246 | norm 101.6953 | time 1896.6658ms
step 2050 | loss 6.8550 | norm 3.8639 | time 1898.7226ms
step 2060 | loss 7.0328 | norm 102835.0234 | time 1899.4560ms
step 2070 | loss 7.5531 | norm 13047.4775 | time 1897.4173ms
step 2080 | loss 8.4345 | norm 15837.3662 | time 1895.6735ms
step 2090 | loss 9.1782 | norm 180.6678 | time 1898.9775ms
step 2100 | loss 7.5969 | norm 3.9202 | time 1898.3154ms
step 2110 | loss 7.1051 | norm 2.6081 | time 1895.9291ms
step 2120 | loss 7.1853 | norm 2.2271 | time 1898.0150ms
step 2130 | loss 6.6643 | norm 9.4006 | time 1895.9289ms
step 2140 | loss 6.8257 | norm 1.9839 | time 1899.1430ms
step 2150 | loss 6.4265 | norm 49.6853 | time 1898.6735ms
